,employee_id,name,gender,dates_of_birth,email,phone_number,address,department,job_titles,manager_id,hire_date,salary,employment_status,employee_type,education_level,certifications,skills,performance_ratings,work_experience,benefits_enrollment,city,work_hours,employee_status,emergency_contacts
0,1226,Carmen Jones,Female,1990-08-28,ashley35@example.net,(270)530-0351x1475,"8090 Sara Pines
South Stephanieland, KS 23271",Marketing,Chiropodist,5,2022-05-04,58730,Full-time,Contract,High School,"skin, consumer, what","image, which",2,Point make security lead travel decision customer.,"share, rich",South Lancestad,9-5,On Leave,Luis Miller: 001-655-889-2168
1,5285,Heather Dixon,Non-Binary,1986-06-25,denise86@example.org,(554)534-2274,"459 Lisa Lane Apt. 920
Velasquezborough, MO 66199",Marketing,Energy manager,7,2022-04-09,67844,Part-time,Contract,Master's Degree,walk,"religious, increase, rest, time, not",2,Sure growth eight politics. Yes prevent represent develop.,"decide, whom, today",Port Rebecca,12-8,Active,Tyler Davis: 001-641-907-2436
2,1775,Ronald Mitchell,Female,1984-09-15,normanjoseph@example.net,001-555-384-3274x769,"07819 Jennifer Stravenue Apt. 723
New Tanya, KY 42908",Finance,Petroleum engineer,2,2021-05-13,86824,Full-time,Contract,PhD,"season, here","employee, might, best, parent",2,Vote popular although bring every appear. Seat coach really close stage kid.,"develop, believe",New Tiffanyfurt,9-5,Active,Andrea Ware: +1-466-957-2786
3,3784,Matthew Anderson,Non-Binary,1993-02-28,emiller@example.com,+1-367-996-6300x4407,"69045 King Inlet
Stevenmouth, WA 73953",Finance,"Nurse, learning disability",4,2018-12-20,89580,Contractor,Contract,Master's Degree,"defense, national, partner","degree, difference, win, question, office",3,Heavy air able at toward kind real.,"investment, race, eye",Lindamouth,12-8,Terminated,Susan Hall: 798.622.7168
4,1627,Mary Ramirez,Non-Binary,1968-07-31,jennifer92@example.com,+1-321-592-6507x75778,"72615 Megan Drive Apt. 194
Robertside, WY 32703",Finance,Insurance underwriter,7,2021-10-20,46326,Full-time,Contract,PhD,scientist,"team, guess, value",4,Perhaps our mention show. Begin century night approach soon building page weight.,"with, as, pass",North Jenniferbury,Night Shift,Active,Kyle Ray: (748)902-9906x364
5,5860,Joshua Warren,Female,1972-11-06,melissawashington@example.net,+1-234-868-7669x294,"76541 Richard Gardens
Dustinton, AR 49775",Finance,Copy,5,2021-11-01,41641,Full-time,Temporary,Associate Degree,"writer, sing","send, road",2,Sometimes easy last accept.,"perform, soon",North Kathyland,12-8,Terminated,Michael Ball: 526-874-5076x0399
6,9498,Ashley Anderson,Female,2000-03-31,edward32@example.net,923.218.2081,"32588 Sean Lock
East Johnhaven, NH 12073",Marketing,Building services engineer,2,2021-06-08,111675,Part-time,Temporary,Master's Degree,"onto, executive","keep, animal, animal, agency, population",5,Population dark deep film reduce indeed plant. Mouth actually month compare.,together,Williamsshire,Night Shift,Terminated,Sherry Smith: 320.994.7783x1932
7,3707,Jeffrey Graham,Female,1976-05-29,sullivanjamie@example.net,(999)692-4887x621,"Unit 0768 Box 5853
DPO AA 09395",Marketing,Air broker,5,2021-10-29,110892,Part-time,Contract,Bachelor's Degree,"rather, fish","do, rate",2,Just form try education.,truth,Jameschester,Night Shift,Terminated,Anna Burke: 4293075729
8,4082,Jessica Moran,Non-Binary,2001-11-30,zcontreras@example.org,809.789.2989,"4835 Melissa Parks
Josephborough, MA 87738",Finance,"Journalist, broadcasting",9,2021-04-03,113126,Part-time,Contract,High School,"exactly, win","face, line, reveal, nice",3,Back television want trouble yes apply big.,"near, laugh, deep",Lake Eric,12-8,Active,Allison Boyd: 878-345-1901x86681
9,1533,Thomas Bauer,Female,1962-01-13,melinda84@example.org,(810)292-2873x30920,"9920 Julia Tunnel Apt. 577
East Michaeltown, CO 56913",Engineering,Civil Service administrator,2,2022-06-15,62920,Full-time,Regular,Master's Degree,"wall, piece, market","strategy, remain",4,Few matter attack. Real camera than loss out camera direction gas.,true,Sueview,9-5,Terminated,Carlos Novak: 666-423-8135x8941
